Country;Digital Trade & Logistics;Data Protection & Cybersecurity;Digital Payments & Identities;Digital Skills & Talent';Innovation & Enterpreneurship;Institutional & Infrastructural Readiness
ASEAN Scores;55.27;62.81;58.84;48.21;49.32;62.85
Brunei Darussalam;54.97;67.46;87.56;53.31;42.99;71.42
Cambodia;33.91;24.76;41.20;36.56;38.19;50.97
Indonesia;49.67;78.43;59.73;45.64;48.81;62.44
Lao PDR;23.22;32.58;44.53;43.89;36.91;38.27
Malaysia;67.35;91.27;79.20;57.85;59.22;82.18
Myanmar;18.51;20.41;32.93;19.58;44.65;44.60
Philippines;60.61;72.49;31.89;53.13;46.93;58.89
Singapore;82.64;89.70;86.60;63.79;71.08;90.36
Thailand;83.34;87.91;69.73;43.76;56.09;62.61
Vietnam;78.50;63.05;58.33;38.38;44.55;60.72
Australia;90.72;90.77;88.00;52.99;66.30;60.87
China;86.50;75.73;74.73;64.76;68.74;53.63
Japan;93.36;90.93;82.00;54.77;77.32;60.67
New Zealand;92.04;85.91;90.33;55.70;65.84;63.90
South Korea;89.28;88.42;81.42;53.77;77.92;63.59
